Title	URL	Priority	Start date	Target date	Quarter	Dev status	Linked pull requests	Sub-issues progress
[placeholder] permissions								
[TIME_BOX] E2E testing ObjectModel settings page								
[TIME_BOX] Investigate nx/jest runner to basic jest runner migration								
[Timebox] Investigate Metadata performance								
Send feedback to user when workflow cannot be executed due to a Billing Exception								
[UNIT_TEST] `UseUpdateOneRecord` hooks and optimistic cache side-effects + relations								
[Timebox] Complete database prod migration								
Update permissions doc								
Server integration tests that cover user signup, workspace creation, workspace activation								
Toto								
Spread dependencies to package scope								
Disable all workflow actions while creating one								
Errors like "Uncompiled message detected" fill server logs	https://github.com/twentyhq/twenty/issues/11593					Done		
App manifest asset URLs (logo, screenshots) are inconsistently resolved across deploy paths	https://github.com/twentyhq/twenty/issues/20203					Started		
Workspace member: me filter not available in Dashboards	https://github.com/twentyhq/twenty/issues/20225					Done	https://github.com/twentyhq/twenty/pull/20266, https://github.com/twentyhq/twenty/pull/20971, https://github.com/twentyhq/twenty/pull/23282	
v1.20 upgrade flips task/note bodyV2 metadata to TEXT; v2.x silently breaks tasks	https://github.com/twentyhq/twenty/issues/20596	Medium				Done		
Remove custom file field maximum files limit and improve UX on attached files creation / edition / deletion	https://github.com/twentyhq/twenty/issues/20942					Done		
Attachments should not be creatable if they are not editable in the UI	https://github.com/twentyhq/twenty/issues/21136					Done	https://github.com/twentyhq/twenty/pull/23217	
You do not have permission to perform this action while trying to reset password	https://github.com/twentyhq/twenty/issues/21248					Done	https://github.com/Pantkartik/twenty/pull/1, https://github.com/twentyhq/twenty/pull/21269, https://github.com/twentyhq/twenty/pull/23335	
Partial LINK field update corrupts data	https://github.com/twentyhq/twenty/issues/13211					Started	https://github.com/twentyhq/twenty/pull/22385	
Workflow - The statuses on the list view and the workflow page are not consistent	https://github.com/twentyhq/twenty/issues/14408					Started	https://github.com/twentyhq/twenty/pull/23769	
Consecutive HTTP CF	https://github.com/twentyhq/twenty/issues/14735					Started	https://github.com/twentyhq/twenty/pull/23467, https://github.com/twentyhq/twenty/pull/23850	
Users with view-only permissions cannot use workflows	https://github.com/twentyhq/twenty/issues/15231					Started	https://github.com/twentyhq/twenty/pull/19057	
Workflow builder breaks in many different ways when editing fast	https://github.com/twentyhq/twenty/issues/15682					Started	https://github.com/twentyhq/twenty/pull/21915, https://github.com/twentyhq/twenty/pull/23847	
In self‑hosted Twenty with local storage, deleted avatars and attachments are not removed from disk	https://github.com/twentyhq/twenty/issues/16205					Started	https://github.com/twentyhq/twenty/pull/19258, https://github.com/twentyhq/twenty/pull/23770	
Worker health status shows outage even though it's running	https://github.com/twentyhq/twenty/issues/16727					Started		
[Workflow] Body from Notes are not well shared from one step to another	https://github.com/twentyhq/twenty/issues/17171					Started	https://github.com/twentyhq/twenty/pull/17210	
Error: Cannot cast to number or null	https://github.com/twentyhq/twenty/issues/17677					Started		
[Bug] Trigger to load new entries to late	https://github.com/twentyhq/twenty/issues/18819					Started	https://github.com/twentyhq/twenty/pull/18821	
Deactivating Relations does not Prevent the use of that Relation	https://github.com/twentyhq/twenty/issues/19026					Started		
Junction Relations UI not showing target object selection after upgrade to v1.22.4	https://github.com/twentyhq/twenty/issues/19801					Started		
[Docs]: Switching to any language redirects to a 404 page	https://github.com/twentyhq/twenty/issues/19971					Started	https://github.com/twentyhq/twenty/pull/19979	
Standard tabs in the record layout like Timeline, Tasks, Notes and Files are still showing even though the relation is completely removed from the object	https://github.com/twentyhq/twenty/issues/19990					Started		
ConnectionProvider should support a logoUrl asset (not just a Tabler icon)	https://github.com/twentyhq/twenty/issues/20216					Started	https://github.com/twentyhq/twenty/pull/23556, https://github.com/twentyhq/twenty/pull/23612	
ChatGPT Apps OAuth connect flow does not complete for Twenty MCP	https://github.com/twentyhq/twenty/issues/20296					Started		
Twenty MCP: draft_email depends on connectedAccountId, but find_connected_accounts returns 0 records for connected Gmail accounts	https://github.com/twentyhq/twenty/issues/20407	Medium				Started		
Marketplace catalog never garbage-collects orphaned applicationRegistration rows	https://github.com/twentyhq/twenty/issues/20424	Medium				Started		
Security Bug Report: EXIF Metadata Not Stripped from Uploaded Organization Logos	https://github.com/twentyhq/twenty/issues/20477					Started	https://github.com/twentyhq/twenty/pull/20490, https://github.com/twentyhq/twenty/pull/23304, https://github.com/twentyhq/twenty/pull/23318	
User-scoped navigation menu items can leak into other users' Favorites/sidebar	https://github.com/twentyhq/twenty/issues/20483	Medium				Started	https://github.com/twentyhq/twenty/pull/20492, https://github.com/twentyhq/twenty/pull/23712	
Bug: `/settings/ai` throws GraphQL error "Cannot query field icon/universalIdentifier on MarketplaceApp" in v2.2.0	https://github.com/twentyhq/twenty/issues/20485	Medium				Started	https://github.com/twentyhq/twenty/pull/20488	
Workflow `UPDATE_RECORD` step cleared `emails` field that was not in `objectRecord` / `fieldsToUpdate`	https://github.com/twentyhq/twenty/issues/20598	Medium				Started		
Bug: Native rich-text field is unusable on mobile with soft keyboard open + long content	https://github.com/twentyhq/twenty/issues/20874					Started		
Twenty AI fails with OpenAI Zero Data Retention: "Items are not persisted for Zero Data Retention organizations"	https://github.com/twentyhq/twenty/issues/20877					Started		
App manifest cannot contribute view fields to views owned by another application (e.g. add app fields to "All Opportunities"	https://github.com/twentyhq/twenty/issues/20886					Started		
